,,United Kingdom,Great Britain,,England,Wales,Scotland,Northern Ireland1,,North East,North West,Yorkshire & the Humber,East Midlands,West Midlands,East,London,South East,South West,,UK excluding London,GB excluding London,England excluding London
2006,Jan,-,-,,2.5,-,-,-,,3.3,1.9,3.2,3.1,2.9,3.7,1.7,2.2,3.7,,,-,2.9
,Feb,-,-,,2.5,-,-,-,,3.2,2.1,3.1,2.7,2.9,3.7,2,2.3,3.2,,,-,2.8
,Mar,-,-,,2.6,-,-,-,,3.3,2.2,3.3,2.9,2.8,4,2.1,2.4,3.3,,,-,2.9
,Apr,-,-,,2.6,-,-,-,,2.8,2.2,3.1,2.6,2.7,3.8,2.2,2.5,3.2,,,-,2.9
,May,-,-,,2.6,-,-,-,,2.8,2.2,3.2,2.3,2.7,3.6,2.4,2.4,2.8,,,-,2.7
,Jun,-,-,,2.6,-,-,-,,3.1,1.9,3,2.1,2.6,3.4,2.6,2.4,2.6,,,-,2.6
,Jul,-,-,,2.6,-,-,-,,3.3,1.7,3.1,2.1,2.6,2.9,2.8,2.3,2.5,,,-,2.5
,Aug,-,-,,2.5,-,-,-,,3.4,1.9,3.5,2.1,2.5,2.8,2.5,2.3,2.3,,,-,2.5
,Sep,-,-,,2.4,-,-,-,,3.1,1.8,3.3,2.3,2.5,2.8,2.3,2.3,2.3,,,-,2.5
,Oct,-,-,,2.3,-,-,-,,2.8,1.8,2.9,2.2,2.5,2.6,2.3,2.3,2.3,,,-,2.4
,Nov,-,-,,2.4,-,-,-,,2.6,1.9,3.2,2.4,2.5,2.6,2.4,2.3,2.3,,,-,2.4
,Dec,-,-,,2.3,-,-,-,,2.8,1.8,3.6,2.3,2.2,2.3,2.3,2,2.3,,,-,2.3
2007,Jan,-,-,,2.2,-,-,-,,2.9,1.8,3.5,2,2.1,2.1,2.1,2.3,2.2,,,-,2.3
,Feb,-,-,,2.3,-,-,-,,3,1.7,3.4,2.1,2,2.1,2.1,2.4,2.4,,,-,2.3
,Mar,-,-,,2.3,-,-,-,,2.9,2,3.1,1.9,2,2.3,2.3,2.3,2.5,,,-,2.4
,Apr,-,-,,2.4,-,-,-,,2.9,2.3,3.2,2,1.9,2.5,2.5,2.3,2.5,,,-,2.4
,May,-,-,,2.4,-,-,-,,2.4,2.4,3.2,2,1.9,2.4,2.5,2.1,2.8,,,-,2.4
,Jun,-,-,,2.5,-,-,-,,1.9,2.4,3.5,2.2,1.9,2.2,2.7,2.1,3,,,-,2.4
,Jul,-,-,,2.6,-,-,-,,1.9,2.6,3.1,2.5,2.1,2.2,2.8,2.1,3.2,,,-,2.5
,Aug,-,-,,2.7,-,-,-,,1.9,2.8,3.1,2.2,2.2,2.2,3.1,2.3,3.5,,,-,2.6
,Sep,-,-,,2.9,-,-,-,,2,2.9,3.2,2.1,2.1,2.1,3.4,2.4,3.4,,,-,2.6
,Oct,-,-,,3.1,-,-,-,,2.2,3,3.5,2.1,2.1,2.5,3.8,2.5,3.6,,,-,2.8
,Nov,-,-,,3.2,-,-,-,,2.6,2.6,3.8,2,2.3,2.6,3.9,2.7,3.6,,,-,2.9
,Dec,-,-,,3.4,-,-,-,,2.6,2.6,3.5,2,2.1,2.6,4.4,2.8,3.6,,,-,2.8
2008,Jan,-,-,,3.6,-,-,-,,2.9,2.6,3.4,2.1,2.2,2.9,4.9,2.9,4.1,,,-,3
,Feb,-,-,,3.5,-,-,-,,2.5,2.6,3.4,2.2,2.2,2.9,4.8,2.9,3.9,,,-,2.9
,Mar,-,-,,3.5,-,-,-,,2.4,2.3,3.5,2.4,2.2,2.5,4.8,3.1,3.8,,,-,2.9
,Apr,-,-,,3.5,-,-,-,,2.7,2,3.5,2.3,2.4,2.5,4.6,3,3.9,,,-,2.9
,May,-,-,,3.5,-,-,-,,3.2,1.9,3.4,2.1,2.4,2.6,4.7,3.2,3.7,,,-,2.9
,Jun,-,-,,3.6,-,-,-,,3.2,2.1,3,2.3,2.5,2.7,4.7,3.4,3.6,,,-,3
,Jul,-,-,,3.5,-,-,-,,3.2,1.9,3.3,2.1,2.3,2.9,4.5,3.4,3.5,,,-,2.9
,Aug,-,-,,3.4,-,-,-,,3.1,1.7,2.8,2.2,2.1,3,4.3,3.5,3.3,,,-,2.9
,Sep,-,-,,3.3,-,-,-,,3.2,1.6,2.5,2,2.1,2.9,4.2,3.6,3.5,,,-,2.9
,Oct,-,-,,3.4,-,-,-,,3,1.6,2.4,1.9,2.2,2.6,4.4,3.6,3.7,,,-,2.9
,Nov,-,-,,3.4,-,-,-,,3,2,1.9,1.9,2.1,2.5,4.6,3.4,3.5,,,-,2.7
,Dec,-,-,,3.3,-,-,-,,2.7,2,1.9,1.7,2.2,2.4,4.3,3.5,3.2,,,-,2.7
2009,Jan,-,-,,3,-,-,-,,2.1,1.8,1.8,1.5,1.9,2.3,4,3.2,2.6,,,-,2.4
,Feb,-,-,,2.9,-,-,-,,2.4,1.6,1.7,1.2,2.1,2.3,4.1,3.1,2.5,,,-,2.3
,Mar,-,-,,2.7,-,-,-,,2.4,1.6,1.7,1,1.9,2.2,3.7,2.8,2.2,,,-,2.1
,Apr,-,-,,2.6,-,-,-,,2.4,1.6,1.6,0.8,1.7,1.9,3.6,2.7,2.2,,,-,2
,May,-,-,,2.4,-,-,-,,2.2,1.6,1.5,0.7,1.5,1.6,3.3,2.5,2.2,,,-,1.9
,Jun,-,-,,2.1,-,-,-,,2.2,1.6,1.6,0.2,1.1,1.3,2.8,2.2,2,,,-,1.7
,Jul,-,-,,1.7,-,-,-,,2.2,1.8,1.6,0,0.7,1,2.3,2,1.6,,,-,1.4
,Aug,-,-,,1.4,-,-,-,,2.3,1.6,1.3,-0.3,0.5,0.5,2,1.6,0.9,,,-,1.1
,Sep,-,-,,1,-,-,-,,2,1.2,1.3,-0.3,0.2,0.2,1.6,0.9,0.6,,,-,0.7
,Oct,-,-,,0.5,-,-,-,,1.8,0.9,1.2,-0.4,-0.3,-0.1,0.8,0.4,-0.2,,,-,0.3
,Nov,-,-,,0,-,-,-,,1.5,0.5,1,-0.7,-0.8,-0.4,0,-0.1,-0.4,,,-,-0.1
,Dec,-,-,,-0.5,-,-,-,,1.2,0.4,0.4,-0.7,-1.1,-0.8,-0.5,-0.9,-0.6,,,-,-0.5
2010,Jan,-,-,,-0.9,-0.1,-,-,,0.9,0.3,0.3,-0.8,-1.3,-1.7,-1,-1.5,-0.8,,,-,-0.9
,Feb,-,-,,-1.2,-0.2,-,-,,0.6,0.3,0.3,-1,-1.4,-1.9,-1.3,-2.1,-0.9,,,-,-1.1
,Mar,-,-,,-1.2,-0.3,-,-,,0.4,0.3,0.3,-1.1,-1.4,-2,-1.3,-2,-0.9,,,-,-1.1
,Apr,-,-,,-1.3,-0.4,-,-,,0.2,0.2,0.3,-1.2,-1.5,-2.1,-1.6,-2,-1.3,,,-,-1.2
,May,-,-,,-1.3,-0.4,-,-,,0,0.2,0.1,-1.3,-1.4,-2,-1.4,-1.9,-1.4,,,-,-1.2
,Jun,-,-,,-1.2,-0.6,-,-,,0,0.2,0,-1.1,-1.2,-1.7,-1.4,-1.9,-1.4,,,-,-1.2
,Jul,-,-,,-1,-0.5,-,-,,-0.1,0,0.1,-1.1,-1.1,-1.7,-1,-1.8,-1.1,,,-,-1.1
,Aug,-,-,,-0.8,-0.5,-,-,,-0.3,0.1,0.2,-0.8,-0.8,-1.5,-0.7,-1.5,-0.7,,,-,-0.8
,Sep,-,-,,-0.5,-0.4,-,-,,-0.2,0.4,0.4,-0.9,-0.5,-1.1,-0.4,-1.2,-0.5,,,-,-0.6
,Oct,-,-,,-0.1,-0.2,-,-,,0,0.6,0.4,-0.9,-0.1,-0.8,0.2,-0.7,-0.1,,,-,-0.3
,Nov,-,-,,0.2,-0.2,-,-,,0.1,0.8,0.7,-0.6,0.2,-0.5,0.7,-0.3,0.1,,,-,0
,Dec,-,-,,0.7,0.1,-,-,,0.4,1,0.9,-0.4,0.4,0,1.3,0.5,0.3,,,-,0.4
2011,Jan,-,-,,1.3,0.4,-,-,,0.6,1.2,1.2,-0.2,0.6,0.8,2,1.5,0.5,,,-,0.9
,Feb,-,-,,1.6,0.6,-,-,,0.8,1.2,1.2,0.1,0.7,1.2,2.3,2.1,0.8,,,-,1.2
,Mar,-,-,,1.8,0.9,-,-,,0.9,1.3,1.2,0.2,0.8,1.3,2.7,2.3,1.1,,,-,1.4
,Apr,-,-,,2.1,1,-,-,,0.9,1.4,1.1,0.5,0.9,1.5,3.2,2.4,1.4,,,-,1.5
,May,-,-,,2.2,1,-,-,,1.1,1.4,1.3,0.7,1,1.8,3.4,2.6,1.4,,,-,1.6
,Jun,-,-,,2.4,1.3,-,-,,1.2,1.4,1.2,0.7,1,1.7,3.7,2.6,1.6,,,-,1.7
,Jul,-,-,,2.5,1.3,-,-,,1.2,1.4,1.1,0.9,1.2,1.7,3.9,2.8,1.6,,,-,1.8
,Aug,-,-,,2.6,1.4,-,-,,1.5,1.4,1.1,0.9,1.2,1.8,4.2,2.6,1.6,,,-,1.7
,Sep,-,-,,2.8,1.3,-,-,,1.7,1.5,1.1,1.1,1.3,1.8,4.4,2.9,1.7,,,-,1.9
,Oct,-,-,,2.8,1.5,-,-,,1.8,1.4,1,1.3,1.3,1.9,4.6,2.8,1.7,,,-,1.9
,Nov,-,-,,2.9,1.5,-,-,,1.6,1.2,1.1,1.3,1.3,1.8,4.7,2.9,1.9,,,-,1.9
,Dec,-,-,,3,1.5,-,-,,1.3,1.2,1.1,1.2,1.3,1.8,4.9,3,2,,,-,1.9
2012,Jan,-,2.7,,2.8,1.3,1.4,-,,1.4,1.1,0.8,1.6,1.3,1.7,4.9,2.4,1.9,,,1.7,1.7
,Feb,-,2.8,,2.9,1.3,1.5,-,,1.2,1.2,0.9,1.6,1.4,1.6,4.9,2.6,2.1,,,1.7,1.8
,Mar,-,2.7,,2.8,1,1.5,-,,1.2,1.2,0.8,1.6,1.3,1.7,4.9,2.5,1.9,,,1.7,1.7
,Apr,-,2.8,,2.9,0.7,1.3,-,,1.2,1.1,0.9,1.6,1.3,1.8,5.2,2.5,1.8,,,1.7,1.7
,May,-,2.8,,3,0.7,1.2,-,,0.8,1,0.8,1.8,1.3,1.8,5.2,2.5,1.9,,,1.6,1.7
,Jun,-,2.8,,3,0.6,1.2,-,,0.8,1,0.9,1.7,1.3,1.8,5.3,2.5,1.8,,,1.6,1.7
,Jul,-,2.8,,3,0.6,1.2,-,,0.8,1,1,1.8,1.3,1.9,5.3,2.4,1.9,,,1.6,1.7
,Aug,-,2.8,,2.9,0.6,1,-,,0.4,0.9,1.1,1.7,1.1,1.9,5.1,2.5,2,,,1.6,1.7
,Sep,-,2.8,,2.9,0.8,0.9,-,,0.2,0.8,1.1,1.7,1.1,1.8,5.3,2.4,1.9,,,1.5,1.6
,Oct,-,2.8,,2.9,0.6,0.8,-,,0,0.7,1.3,1.8,1.2,1.6,5.2,2.5,2,,,1.6,1.7
,Nov,-,2.7,,2.8,0.5,0.9,-,,0.3,0.7,1.2,1.7,1.2,1.7,5,2.3,1.7,,,1.5,1.6
,Dec,-,2.6,,2.7,0.5,1.2,-,,0.4,0.7,1.1,1.6,1.3,1.5,4.8,2.2,1.6,,,1.4,1.5
2013,Jan,-,2.5,,2.6,0.6,1.1,-,,0.3,0.7,1.2,1.4,1.3,1.6,4.6,2.1,1.7,,,1.4,1.5
,Feb,-,2.4,,2.5,0.4,1.2,-,,0.4,0.5,1.2,1.3,1.3,1.4,4.5,2,1.6,,,1.3,1.4
,Mar,-,2.4,,2.5,0.4,1.2,-,,0.4,0.5,1.1,1.2,1.3,1.5,4.5,1.9,1.5,,,1.3,1.4
,Apr,-,2.2,,2.3,0.9,1.3,-,,0.4,0.4,1.1,1.2,1.3,1.3,4.2,1.9,1.6,,,1.3,1.3
,May,-,2.2,,2.3,0.9,1.5,-,,0.6,0.4,1.1,1.1,1.1,1,4.2,1.7,1.6,,,1.2,1.2
,Jun,-,2.2,,2.2,0.9,1.4,-,,0.6,0.4,1.2,1,1.1,1,4.1,1.7,1.6,,,1.2,1.2
,Jul,-,2.1,,2.2,0.9,1.5,-,,0.7,0.4,1,0.9,1,0.8,4,1.7,1.6,,,1.2,1.2
,Aug,-,2.1,,2.2,0.7,1.8,-,,0.7,0.4,1,1,1.1,0.8,4,1.7,1.5,,,1.2,1.1
,Sep,-,1.9,,2,0.4,1.8,-,,0.7,0.4,0.8,1,0.9,0.8,3.5,1.6,1.3,,,1.1,1.1
,Oct,-,1.8,,1.8,0.4,1.8,-,,0.8,0.4,0.6,0.8,0.7,0.8,3.3,1.6,1.2,,,1,1
,Nov,-,1.8,,1.9,0.6,1.8,-,,0.5,0.4,0.7,1.1,0.7,0.8,3.4,1.5,1.4,,,1.1,1
,Dec,-,1.7,,1.7,0.5,1.8,-,,0.4,0.3,0.7,1.1,0.9,0.8,3,1.5,1.4,,,1.1,1
2014,Jan,-,1.7,,1.7,0.5,1.7,-,,0.3,0.4,0.7,1,1,0.8,2.8,1.8,1.3,,,1.1,1.1
,Feb,-,1.6,,1.6,0.6,1.8,-,,0.4,0.4,0.6,1,1,0.9,2.5,1.8,1.3,,,1.1,1.1
,Mar,-,1.6,,1.6,0.6,1.7,-,,0.4,0.4,0.7,1.3,1.1,0.8,2.5,1.7,1.4,,,1.2,1.1
,Apr,-,1.6,,1.6,0.4,1.7,-,,0.3,0.4,0.7,1.2,1.2,0.9,2.4,1.7,1.5,,,1.1,1.1
,May,-,1.5,,1.5,0.4,1.5,-,,0.3,0.4,0.4,1.2,1.2,0.9,2.2,1.7,1.4,,,1.1,1.1
,Jun,-,1.5,,1.5,0.4,1.7,-,,0.4,0.5,0.4,1.6,1.2,1,2.1,1.7,1.3,,,1.2,1.1
,Jul,-,1.5,,1.5,0.4,1.7,-,,0.3,0.4,0.5,1.2,1.3,1.1,2.1,1.7,1.4,,,1.2,1.2
,Aug,-,1.4,,1.4,0.4,1.8,-,,0.2,0.4,0.5,1.1,1.2,1.1,1.9,1.7,1.3,,,1.1,1.1
,Sep,-,1.4,,1.4,0.6,1.8,-,,0.3,0.4,0.5,1.1,1.3,1.1,2,1.7,1.3,,,1.2,1.1
,Oct,-,1.6,,1.5,0.6,2.1,-,,0.2,0.4,0.3,1.2,1.4,1.3,2.2,1.7,1.3,,,1.2,1.2
,Nov,-,1.6,,1.6,0.3,2,-,,0.3,0.4,0.4,1.1,1.5,1.5,2.1,1.9,1.3,,,1.3,1.3
,Dec,-,1.7,,1.8,0.2,2,-,,0.3,0.5,0.5,1.1,1.3,1.8,2.4,2.1,1.5,,,1.4,1.3
2015,Jan,-,1.9,,1.9,0.6,2.1,-,,0.3,0.6,0.4,1.2,1.2,1.8,2.8,2.1,1.6,,,1.4,1.4
,Feb,-,2,,2.1,0.7,2.1,-,,0.3,0.6,0.4,1.3,1.3,1.9,3,2.2,1.7,,,1.5,1.4
,Mar,-,2.1,,2.1,0.8,2.1,-,,0.4,0.6,0.4,1.2,1.3,1.9,3.2,2.3,1.7,,,1.5,1.5
,Apr,-,2.2,,2.3,0.8,2.1,-,,0.5,0.6,0.5,1.5,1.3,2.1,3.3,2.4,1.8,,,1.6,1.6
,May,-,2.4,,2.5,0.9,2.1,-,,0.6,0.6,0.7,1.7,1.6,2.4,3.7,2.4,1.9,,,1.7,1.7
,Jun,-,2.5,,2.5,0.8,2.1,-,,0.5,0.5,0.7,1.4,1.7,2.6,3.8,2.5,1.8,,,1.7,1.7
,Jul,-,2.4,,2.5,0.8,1.8,-,,0.5,0.6,0.8,1.7,1.7,2.6,3.7,2.4,1.6,,,1.7,1.7
,Aug,-,2.7,,2.8,0.7,1.7,-,,0.6,0.8,0.9,1.9,1.9,2.7,4.3,2.6,1.8,,,1.8,1.9
,Sep,-,2.7,,2.8,0.5,1.6,-,,0.5,0.7,0.9,2.1,1.9,2.7,4.1,2.7,1.8,,,1.8,1.9
,Oct,-,2.7,,2.8,0.4,1.3,-,,0.5,0.8,1,2.1,1.9,2.9,4.1,2.8,1.7,,,1.9,2
,Nov,-,2.7,,2.8,0.7,1.1,-,,0.6,1,0.9,2.2,1.8,3,4.1,2.7,1.8,,,1.9,2
,Dec,-,2.5,,2.7,0.7,0.9,-,,0.6,1,0.8,2.2,1.8,2.8,3.9,2.8,1.4,,,1.8,1.9
2016,Jan,2.6,2.6,,2.7,0.3,0.8,1.5,,0.9,1,1.2,2.3,1.8,2.9,3.9,2.9,1.3,,1.8,1.8,2
,Feb,2.6,2.6,,2.8,0.2,0.7,1.7,,0.9,1,1.3,2.4,1.8,3,3.8,2.9,1.4,,1.9,1.9,2.1
,Mar,2.6,2.6,,2.8,0.2,0.6,1.8,,0.8,1.1,1.2,2.7,1.9,3,3.7,2.9,1.7,,2,2,2.1
,Apr,2.6,2.6,,2.8,0.2,0.5,1.9,,0.8,1.1,1.3,2.6,1.9,3,3.7,3.1,1.5,,2,2,2.2
,May,2.5,2.5,,2.6,0,0.4,2.3,,0.8,1.2,1.2,2.4,1.7,3.2,3.3,3.4,1.5,,2,2,2.3
,Jun,2.4,2.4,,2.5,-0.1,0.1,2.4,,0.8,1.2,1.3,2.4,1.6,3.1,3,3.4,1.7,,2,2,2.2
,Jul,2.4,2.4,,2.6,0,0.2,2.5,,0.9,1.2,1.3,2.5,1.5,3.1,3,3.5,1.8,,2.1,2.1,2.3
,Aug,2.3,2.3,,2.4,0.1,0,2.7,,0.9,1.1,1.3,2.4,1.8,3.3,2.6,3.4,2,,2.1,2.1,2.3
,Sep,2.3,2.3,,2.5,0.1,-0.1,2.3,,1,1.3,1.5,2.3,1.9,3,2.7,3.5,2.2,,2.1,2.1,2.4
,Oct,2.3,2.3,,2.5,0.4,-0.2,2.3,,1.1,1.3,1.5,2.4,2.1,3.2,2.6,3.4,2.4,,2.2,2.2,2.5
,Nov,2.3,2.3,,2.4,0.3,0.1,1.9,,1.1,1.1,1.6,2.5,2.2,3.1,2.4,3.4,2.4,,2.2,2.2,2.5
,Dec,2.3,2.3,,2.5,0.3,0.1,1.7,,1.1,1.2,1.8,2.7,2.2,3,2.4,3.4,2.9,,2.3,2.3,2.6
2017,Jan,2.2,2.2,,2.3,0.4,0.1,1.2,,0.9,1.2,1.5,2.8,2.2,3,2.1,3.3,2.8,,2.2,2.3,2.5
,Feb,2.1,2.1,,2.3,0.5,0,1,,0.9,1.2,1.5,2.8,2.2,2.8,1.9,3.3,2.7,,2.2,2.2,2.5
,Mar,1.9,2,,2.1,0.7,-0.1,1.1,,0.7,1.3,1.6,2.5,2,2.8,1.6,3.4,2.5,,2.2,2.2,2.4
,Apr,1.8,1.8,,2,0.7,0,1.3,,0.7,1.3,1.7,2.3,2.2,2.7,1.4,3.1,2.5,,2.1,2.1,2.4
,May,1.8,1.8,,1.9,0.9,-0.1,1.2,,0.6,1.3,1.7,2.5,2.1,2.3,1.3,2.8,2.5,,2,2,2.2
,Jun,1.8,1.8,,1.9,1.1,0.2,1.4,,0.5,1.5,1.7,2.6,2.2,2.3,1.3,2.8,2.4,,2,2,2.2
,Jul,1.8,1.8,,1.9,1.3,0.2,1.3,,0.5,1.4,1.6,2.8,2.2,2.3,1.5,2.6,2.5,,2,2,2.2
,Aug,1.6,1.6,,1.7,1.3,0.3,1.3,,0.4,1.4,1.7,2.8,2,2.1,1.2,2.6,2.1,,1.9,1.9,2.1
,Sep,1.6,1.6,,1.6,1.4,0.3,1.6,,0.4,1.3,1.6,2.9,1.9,2.4,0.9,2.5,2.1,,1.9,1.9,2.1
,Oct,1.5,1.5,,1.5,1.5,0.4,1.6,,0.2,1.3,1.7,2.9,1.7,2.1,0.8,2.4,2.1,,1.9,1.9,2
,Nov,1.4,1.4,,1.4,1.4,0.2,1.8,,0,1.3,1.6,2.7,1.8,2.1,0.6,2.3,2.1,,1.8,1.8,1.9
,Dec,1.2,1.2,,1.3,1.7,0.4,1.8,,0.1,1.3,1.4,2.6,1.8,2.2,0.4,2,2.1,,1.7,1.7,1.8
2018,Jan,1.1,1.1,,1.1,1.4,0.3,2.1,,0,1.3,1.3,2.6,1.7,1.9,0.2,1.8,2.1,,1.6,1.6,1.7
,Feb,1.1,1.1,,1.1,1.4,0.4,2.2,,0,1.3,1.4,2.5,1.7,2.1,0.1,1.7,2.1,,1.6,1.6,1.7
,Mar,1.1,1.1,,1.1,1.2,0.7,2.1,,0.2,1.2,1.4,2.7,1.8,1.9,0.1,1.7,2.1,,1.6,1.6,1.7
,Apr,1,1,,1,1.3,0.6,2.1,,0.1,1.2,1.2,2.8,1.7,1.8,0,1.6,2.1,,1.6,1.6,1.7
,May,1,1,,1,1.2,0.6,2,,0.1,1.1,1.3,2.9,1.7,2,-0.2,1.6,2,,1.6,1.6,1.7
,Jun,1,1,,1,1.1,0.6,1.9,,0.2,1.1,1.5,2.8,1.7,1.9,-0.2,1.5,2.1,,1.6,1.6,1.7
,Jul,0.9,0.9,,0.9,1,0.5,2,,0.1,1.1,1.4,2.7,1.6,1.8,-0.3,1.5,1.9,,1.5,1.5,1.6
,Aug,0.9,0.9,,0.9,1,0.5,2,,0.2,1.1,1.3,2.8,1.6,1.9,-0.3,1.5,2.1,,1.5,1.5,1.6
,Sep,0.9,0.9,,0.9,1,0.6,2,,0.2,1,1.6,2.9,1.7,1.9,-0.2,1.4,1.9,,1.5,1.5,1.6
,Oct,0.9,0.9,,0.9,0.7,0.6,2,,0.3,1,1.5,2.7,1.8,1.8,-0.2,1.3,1.8,,1.5,1.5,1.6
,Nov,0.9,0.9,,1,0.9,0.5,1.7,,0.4,1,1.7,2.7,1.8,1.7,0,1.2,1.6,,1.4,1.4,1.5
,Dec,1,1,,1.1,0.8,0.6,2,,0.3,1,1.8,2.5,1.8,1.6,0.2,1.4,1.6,,1.5,1.4,1.5
2019,Jan,1,1,,1.1,0.9,0.7,2.1,,0.4,1.1,1.9,2.4,1.8,1.3,0.1,1.5,1.8,,1.5,1.5,1.6
,Feb,1.1,1.1,,1.1,1.1,0.7,2,,0.3,1.1,1.8,2.4,1.8,1.3,0.2,1.6,1.8,,1.5,1.5,1.6
,Mar,1.2,1.1,,1.2,1.1,0.7,2.1,,0.3,1.2,1.8,2.3,1.6,1.4,0.5,1.5,1.7,,1.5,1.5,1.6
,Apr,1.2,1.2,,1.2,1.1,0.7,1.9,,0.4,1.3,1.8,2.1,1.6,1.3,0.5,1.6,1.7,,1.5,1.5,1.6
,May,1.3,1.3,,1.3,1.1,0.8,1.8,,0.5,1.3,1.8,2.1,1.4,1.2,0.9,1.5,2,,1.5,1.5,1.5
,Jun,1.3,1.3,,1.3,1.1,0.9,1.9,,0.5,1.3,1.8,2.1,1.5,1.3,0.9,1.6,2,,1.5,1.5,1.6
,Jul,1.3,1.3,,1.4,1,0.9,2.1,,0.7,1.4,1.9,2.1,1.6,1.3,0.9,1.6,2,,1.5,1.5,1.6
,Aug,1.3,1.3,,1.3,1.2,0.9,2.2,,0.6,1.3,1.6,1.9,1.5,1.3,0.8,1.6,2,,1.5,1.5,1.5
,Sep,1.3,1.3,,1.3,1.2,0.8,2.2,,0.6,1.3,1.8,1.7,1.5,1.2,0.9,1.6,2.1,,1.5,1.5,1.5
,Oct,1.3,1.3,,1.4,1.2,0.7,2.2,,0.4,1.2,1.8,1.9,1.4,1.2,0.9,1.7,2.2,,1.5,1.5,1.6
,Nov,1.4,1.4,,1.4,1,0.9,2.2,,0.5,1.3,1.9,2.1,1.3,1.4,1,1.7,2.3,,1.6,1.6,1.7
,Dec,1.4,1.4,,1.4,1.2,0.6,2,,0.5,1.2,1.9,2.1,1.3,1.5,1.2,1.4,2.2,,1.5,1.5,1.6
2020,Jan,1.5,1.5,,1.5,1.3,0.6,2.3,,0.6,1.1,2,2.2,1.6,1.6,1.3,1.4,2.3,,1.6,1.6,1.7
,Feb,1.4,1.4,,1.4,1.2,0.6,2.5,,0.7,1,1.9,2.2,1.5,1.6,1.1,1.2,2.3,,1.5,1.5,1.6
,Mar,1.4,1.4,,1.4,1.2,0.6,2.6,,0.7,1,2,2.3,1.6,1.6,1.2,1.1,2.4,,1.5,1.5,1.6
,Apr,1.5,1.5,,1.5,1,0.7,2.6,,0.7,0.9,2,2.4,1.7,1.8,1.3,1,2.6,,1.6,1.5,1.6
,May,1.5,1.5,,1.5,1.2,0.6,2.6,,0.8,1,2.2,2.5,2.2,1.7,1.2,1.2,2.5,,1.6,1.6,1.7
,Jun,1.5,1.5,,1.5,1.4,0.6,2.6,,1,1,2.1,2.3,2.1,1.6,1.2,1.1,2.5,,1.6,1.6,1.7
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
1,Not seasonally adjusted,,,,,,,,,,,,,,,,,,,,,
